,latitude,longitude
0,37.43053,127.07115
1,37.43212,127.04729
2,37.4343,126.90398
3,37.43468,126.90463
4,37.43477,126.90551
5,37.43462,127.06987
6,37.43508,126.90657
7,37.43538,127.06706
8,37.43558,127.06842
9,37.43505,127.06964
10,37.43615,126.90515
11,37.43767,126.90442
12,37.43731,127.06354
13,37.43832,126.90465
14,37.43905,126.90391
15,37.43934,126.90448
16,37.43961,126.90571
17,37.43964,126.90627
18,37.43995,126.90708
19,37.44011,126.90146
20,37.44033,126.90421
21,37.44072,126.90593
22,37.44087,126.90606
23,37.44041,126.90725
24,37.44129,126.90436
25,37.44179,126.90589
26,37.44148,126.90622
27,37.44134,126.90758
28,37.44151,127.04651
29,37.44243,126.90429
30,37.44248,126.90591
31,37.44258,126.90634
32,37.44243,126.90704
33,37.44241,126.96533
34,37.44232,127.05482
35,37.44293,127.05673
36,37.44339,126.90459
37,37.44327,126.90561
38,37.4432,126.90655
39,37.44373,127.05516
40,37.44374,127.05927
41,37.44476,126.89878
42,37.44465,126.90464
43,37.44425,126.90537
44,37.44411,127.05679
45,37.44493,127.05754
46,37.44556,126.90291
47,37.44558,126.90407
48,37.44593,127.05754
49,37.44665,126.90041
50,37.44646,126.90156
51,37.44649,126.90373
52,37.44643,126.90449
53,37.44686,126.90559
54,37.44647,126.90853
55,37.44636,126.90965
56,37.44672,126.91014
57,37.44644,126.91856
58,37.44628,127.05851
59,37.44725,126.90059
60,37.4477,126.90191
61,37.44746,126.90597
62,37.44772,126.90648
63,37.44723,126.9077
64,37.44723,126.90823
65,37.44746,126.9091
66,37.4476,126.91121
67,37.44724,126.9195
68,37.44741,127.05676
69,37.44782,127.05742
70,37.4474,127.05809
71,37.44834,126.90204
72,37.44863,126.90377
73,37.44821,126.90458
74,37.4485,126.90546
75,37.44807,126.90683
76,37.44844,126.90729
77,37.44821,126.90863
78,37.4482,126.91165
79,37.44819,126.91205
80,37.44898,126.91614
81,37.44885,127.05443
82,37.44851,127.05537
83,37.44972,126.90146
84,37.44988,126.90275
85,37.44963,126.90399
86,37.44977,126.90423
87,37.44945,126.90634
88,37.44948,126.90725
89,37.44932,126.90841
90,37.44931,126.90951
91,37.44994,126.91278
92,37.44992,126.91481
93,37.44915,126.91597
94,37.44936,126.91613
95,37.44975,126.91789
96,37.44977,126.91805
97,37.4491,127.05804
98,37.45052,126.90046
99,37.45029,126.90117
100,37.45009,126.90259
101,37.45033,126.90371
102,37.45032,126.90478
103,37.45041,126.90559
104,37.45053,126.90664
105,37.45009,126.90764
106,37.45047,126.90855
107,37.45019,126.90918
108,37.45061,126.91067
109,37.45032,126.9127
110,37.45057,126.9135
111,37.45085,126.91403
112,37.45047,126.91555
113,37.4501,126.91612
114,37.45032,126.93424
115,37.45068,127.05349
116,37.45024,127.0579
117,37.45127,126.89659
118,37.45134,126.89777
119,37.45133,126.90269
120,37.45133,126.90449
121,37.45193,126.90525
122,37.45136,126.90661
123,37.45157,126.90737
124,37.45136,126.90852
125,37.45167,126.90903
126,37.45145,126.91054
127,37.45154,126.91249
128,37.45104,126.91356
129,37.45142,126.91443
130,37.45166,126.92546
131,37.45286,126.88984
132,37.4524,126.89078
133,37.4524,126.89162
134,37.4527,126.8922
135,37.45254,126.90258
136,37.45264,126.90379
137,37.4525,126.90522
138,37.4525,126.90678
139,37.45231,126.90865
140,37.45209,126.90954
141,37.45256,126.91049
142,37.4522,126.91149
143,37.45256,126.91242
144,37.45256,126.91347
145,37.4524,126.91563
146,37.45259,126.91652
147,37.45234,126.92067
148,37.45241,126.94666
149,37.45208,127.0525
150,37.45271,127.05428
151,37.45239,127.05584
152,37.4525,127.06444
153,37.45218,127.0666
154,37.45311,126.88966
155,37.45363,126.89042
156,37.4533,126.89137
157,37.45323,126.90397
158,37.45309,126.90434
159,37.45366,126.90537
160,37.45369,126.90689
161,37.45306,126.90787
162,37.45335,126.90878
163,37.45373,126.91072
164,37.45365,126.91183
165,37.45399,126.91235
166,37.453,126.91587
167,37.45333,126.91738
168,37.4538,126.91821
169,37.45373,126.91996
170,37.45369,126.92004
171,37.45345,127.04868
172,37.45321,127.05384
173,37.45311,127.05621
174,37.4534,127.05895
175,37.45363,127.05916
176,37.45365,127.06718
177,37.4548,126.88868
178,37.45414,126.88984
179,37.45431,126.8902
180,37.45442,126.89113
181,37.45468,126.89712
182,37.45418,126.89874
183,37.45468,126.89947
184,37.45473,126.90172
185,37.45452,126.90276
186,37.45448,126.90357
187,37.45425,126.90438
188,37.45436,126.9059
189,37.45416,126.90738
190,37.45448,126.90869
191,37.45456,126.90957
192,37.45403,126.91234
193,37.45471,126.94814
194,37.45423,127.0499
195,37.45468,127.05127
196,37.45439,127.05258
197,37.45459,127.05567
198,37.45474,127.06029
199,37.45428,127.06167
200,37.45471,127.06284
201,37.45461,127.06344
202,37.45464,127.06485
203,37.45446,127.06527
204,37.45472,127.06788
205,37.45518,126.89084
206,37.45525,126.89165
207,37.45581,126.89376
208,37.4558,126.89495
209,37.45592,126.89515
210,37.45501,126.89958
211,37.45586,126.90072
212,37.45539,126.90131
213,37.45536,126.90232
214,37.45592,126.90362
215,37.45517,126.90663
216,37.45559,126.90751
217,37.45534,126.90879
218,37.45561,126.9454
219,37.45551,127.05127
220,37.45503,127.05407
221,37.45571,127.06177
222,37.45588,127.06368
223,37.45508,127.06511
224,37.45566,127.06741
225,37.4552,127.07532
226,37.4559,127.0808
227,37.45674,126.88681
228,37.45638,126.8935
229,37.45655,126.8966
230,37.45668,126.90058
231,37.45656,126.90158
232,37.45673,126.90343
233,37.45641,126.9043
234,37.45646,126.90528
235,37.4565,126.90668
236,37.45644,126.90768
237,37.45648,126.90806
238,37.45684,126.92947
239,37.45642,126.94613
240,37.45653,126.94715
241,37.45634,127.01653
242,37.45652,127.01951
243,37.45694,127.02107
244,37.45671,127.04685
245,37.45615,127.05105
246,37.45619,127.05914
247,37.45617,127.06297
248,37.45612,127.06425
249,37.45617,127.06525
250,37.4571,126.89282
251,37.45739,126.89472
252,37.45797,126.89694
253,37.45732,126.90045
254,37.4577,126.90168
255,37.4577,126.90231
256,37.45711,126.90337
257,37.45795,126.9043
258,37.45745,126.90633
259,37.45781,126.90824
260,37.45766,126.91856
261,37.4575,126.92043
262,37.4576,126.92937
263,37.45772,126.93358
264,37.45768,126.94633
265,37.45757,127.01488
266,37.45702,127.01556
267,37.45725,127.01951
268,37.45789,127.039
269,37.45723,127.08896
270,37.45845,126.89539
271,37.45802,126.89695
272,37.45845,126.89987
273,37.45808,126.90007
274,37.45831,126.90114
275,37.45868,126.90233
276,37.45874,126.90331
277,37.45801,126.90434
278,37.45889,126.90583
279,37.45825,126.90639
280,37.45858,126.9074
281,37.45886,126.9174
282,37.45822,126.92147
283,37.45884,126.92228
284,37.45866,126.92976
285,37.45802,126.93376
286,37.45853,126.947
287,37.45888,126.9473
288,37.45869,127.01149
289,37.4582,127.01271
290,37.45869,127.02042
291,37.45841,127.04899
292,37.45884,127.05532
293,37.45827,127.05647
294,37.45805,127.07133
295,37.45969,126.9004
296,37.45938,126.90178
297,37.45907,126.90267
298,37.45953,126.90425
299,37.45987,126.90556
300,37.45941,126.90646
301,37.45992,126.91489
302,37.45916,126.92246
303,37.45963,126.93294
304,37.45991,127.02062
305,37.45922,127.02318
306,37.45958,127.02483
307,37.4593,127.04901
308,37.4593,127.05566
309,37.45977,127.08687
310,37.45977,127.08888
311,37.45971,127.09096
312,37.46059,126.89934
313,37.46071,126.90061
314,37.46058,126.90109
315,37.46062,126.90253
316,37.46038,126.9033
317,37.46061,126.90546
318,37.46056,126.90648
319,37.46021,126.90721
320,37.46084,126.90868
321,37.46058,126.90922
322,37.4607,126.9106
323,37.46077,126.91222
324,37.46072,126.91533
325,37.46038,126.92074
326,37.46026,126.92978
327,37.46035,126.93276
328,37.46091,126.9482
329,37.46019,127.01721
330,37.46026,127.02445
331,37.4609,127.03588
332,37.46049,127.10338
333,37.46147,126.88992
334,37.46131,126.89012
335,37.46121,126.89892
336,37.46119,126.89902
337,37.46179,126.90054
338,37.46138,126.90183
339,37.46101,126.9029
340,37.46141,126.90388
341,37.46105,126.90537
342,37.46131,126.90626
343,37.46158,126.90755
344,37.46139,126.90834
345,37.46103,126.90956
346,37.4618,126.91046
347,37.46154,126.91143
348,37.46146,126.91214
349,37.46154,126.915
350,37.46165,126.91505
351,37.46179,126.91619
352,37.46118,126.92225
353,37.46129,126.9249
354,37.46123,126.92945
355,37.46175,126.9303
356,37.46177,126.93192
357,37.46121,126.9324
358,37.46183,126.94825
359,37.46175,127.01481
360,37.46172,127.03713
361,37.46162,127.04267
362,37.46158,127.05051
363,37.46102,127.07211
364,37.46155,127.09007
365,37.46137,127.1017
366,37.46126,127.11361
367,37.46255,126.88896
368,37.46244,126.88908
369,37.46224,126.89899
370,37.46257,126.89918
371,37.4626,126.90069
372,37.4622,126.9028
373,37.46267,126.90318
374,37.46273,126.9048
375,37.46252,126.90558
376,37.4625,126.90762
377,37.46269,126.91054
378,37.46229,126.91146
379,37.46272,126.91472
380,37.4628,126.91555
381,37.46241,126.91644
382,37.46281,126.91752
383,37.46294,126.91886
384,37.46216,126.91907
385,37.46262,126.93065
386,37.46205,126.93179
387,37.46209,126.93875
388,37.4623,126.94779
389,37.46255,126.94837
390,37.46259,126.98838
391,37.46298,127.01253
392,37.46274,127.02682
393,37.46212,127.03432
394,37.46278,127.04139
395,37.46293,127.04993
396,37.46216,127.0502
397,37.4629,127.05151
398,37.46298,127.05554
399,37.46243,127.10434
400,37.46273,127.10675
401,37.46232,127.10721
402,37.46259,127.11381
403,37.46324,126.88482
404,37.46351,126.89842
405,37.46365,126.89966
406,37.46379,126.90054
407,37.46346,126.9014
408,37.46332,126.90381
409,37.46349,126.90454
410,37.46365,126.90509
411,37.46384,126.90605
412,37.46359,126.90713
413,37.46388,126.91141
414,37.46361,126.91452
415,37.46351,126.9155
416,37.46373,126.91663
417,37.4634,126.91755
418,37.46318,126.91844
419,37.46348,126.91945
420,37.46383,126.92572
421,37.46331,126.92722
422,37.46334,126.93172
423,37.46375,126.93349
424,37.46362,126.93615
425,37.46353,126.94807
426,37.46357,127.02416
427,37.46316,127.02529
428,37.46332,127.03473
429,37.46316,127.03558
430,37.46366,127.04062
431,37.46311,127.04994
432,37.4634,127.10142
433,37.46328,127.10369
434,37.46349,127.10552
435,37.46376,127.10671
436,37.46348,127.10755
437,37.46427,126.89366
438,37.46462,126.8956
439,37.46456,126.89642
440,37.46427,126.89718
441,37.46464,126.8984
442,37.46444,126.89941
443,37.46453,126.90013
444,37.46474,126.90143
445,37.46451,126.90239
446,37.46428,126.90393
447,37.46434,126.90453
448,37.46417,126.90535
449,37.4642,126.90625
450,37.46406,126.90894
451,37.46409,126.90919
452,37.46407,126.91582
453,37.46411,126.91613
454,37.46456,126.9179
455,37.46459,126.91895
456,37.46458,126.91905
457,37.46486,126.92675
458,37.46439,126.92768
459,37.46456,126.93017
460,37.46469,126.93151
461,37.46454,126.9327
462,37.46419,126.93347
463,37.46444,126.93579
464,37.46441,126.93648
465,37.46471,126.93868
466,37.46479,126.93952
467,37.46442,126.94024
468,37.46435,126.99109
469,37.4646,127.01961
470,37.46442,127.02388
471,37.46426,127.02439
472,37.46463,127.02598
473,37.46457,127.03425
474,37.46406,127.04034
475,37.46498,127.04349
476,37.46474,127.09293
477,37.46494,127.10379
478,37.46451,127.10653
479,37.46431,127.10725
480,37.4642,127.11956
481,37.46514,126.89191
482,37.46559,126.89262
483,37.46541,126.89374
484,37.46578,126.8944
485,37.46519,126.89549
486,37.46519,126.89667
487,37.46523,126.89839
488,37.4655,126.89933
489,37.46551,126.90165
490,37.46596,126.90274
491,37.46545,126.90364
492,37.46566,126.90488
493,37.46526,126.90522
494,37.46561,126.90665
495,37.46587,126.90707
496,37.46567,126.91755
497,37.46532,126.91879
498,37.4652,126.91961
499,37.46534,126.92039
500,37.46576,126.92382
501,37.46508,126.92687
502,37.46503,126.92722
503,37.46541,126.93044
504,37.46535,126.93142
505,37.46544,126.93235
506,37.4654,126.93345
507,37.46525,126.93502
508,37.46565,126.93662
509,37.46596,126.9376
510,37.46531,126.93836
511,37.46546,126.93921
512,37.46514,126.9895
513,37.46528,126.99081
514,37.46508,127.01851
515,37.46545,127.01948
516,37.4652,127.02118
517,37.46592,127.02269
518,37.46572,127.02411
519,37.46573,127.03496
520,37.46501,127.03544
521,37.46551,127.09491
522,37.46586,127.10051
523,37.46525,127.10154
524,37.46503,127.10704
525,37.46564,127.10934
526,37.46602,126.88794
527,37.46642,126.88881
528,37.46662,126.8895
529,37.46642,126.89186
530,37.46646,126.89433
531,37.46652,126.89621
532,37.46615,126.89859
533,37.46667,126.8994
534,37.46641,126.90166
535,37.46643,126.90251
536,37.46659,126.90368
537,37.46657,126.90473
538,37.46656,126.90571
539,37.46601,126.90657
540,37.46663,126.91405
541,37.46643,126.91963
542,37.46634,126.92046
543,37.46635,126.92143
544,37.46643,126.92222
545,37.46666,126.92345
546,37.46698,126.92673
547,37.46636,126.92721
548,37.46685,126.92912
549,37.4665,126.93036
550,37.46625,126.93125
551,37.46647,126.93412
552,37.46621,126.93542
553,37.46653,126.9363
554,37.4661,126.93752
555,37.46667,126.93878
556,37.46607,126.93936
557,37.46608,126.94004
558,37.46685,126.94431
559,37.46667,126.94709
560,37.46695,126.95517
561,37.46604,126.98894
562,37.46663,127.01777
563,37.46682,127.02979
564,37.46686,127.03434
565,37.46679,127.03531
566,37.46618,127.0363
567,37.46658,127.03812
568,37.46628,127.09495
569,37.46697,127.09716
570,37.46667,127.09951
571,37.46664,127.10879
572,37.4666,127.10975
573,37.46655,127.122
574,37.46782,126.88994
575,37.46776,126.8901
576,37.46729,126.89383
577,37.4678,126.89498
578,37.46782,126.89509
579,37.46792,126.89875
580,37.46723,126.89972
581,37.46742,126.90003
582,37.46778,126.90122
583,37.46766,126.90259
584,37.46775,126.90389
585,37.46765,126.90468
586,37.46779,126.90586
587,37.46709,126.90692
588,37.46746,126.90734
589,37.46728,126.90845
590,37.46765,126.9135
591,37.46718,126.91897
592,37.46745,126.91983
593,37.46747,126.92066
594,37.46761,126.92174
595,37.46742,126.92266
596,37.46741,126.92366
597,37.46795,126.9241
598,37.46791,126.92553
599,37.46794,126.9297
600,37.46753,126.93076
601,37.46765,126.93195
602,37.46772,126.9323
603,37.46728,126.93448
604,37.46773,126.93565
605,37.46705,126.93693
606,37.46753,126.93761
607,37.46773,126.93811
608,37.46798,126.93996
609,37.46786,126.94035
610,37.46791,126.94242
611,37.46763,126.98825
612,37.46739,126.9903
613,37.46709,127.0195
614,37.46702,127.02061
615,37.46762,127.03005
616,37.46753,127.03474
617,37.46784,127.03548
618,37.46751,127.03788
619,37.4679,127.03886
620,37.46776,127.03923
621,37.46785,127.04156
622,37.46735,127.04269
623,37.46717,127.0441
624,37.46785,127.04505
625,37.46782,127.09319
626,37.46712,127.09442
627,37.4673,127.09775
628,37.4672,127.09846
629,37.46736,127.10016
630,37.46715,127.10165
631,37.46736,127.10931
632,37.46774,127.12008
633,37.46721,127.12191
634,37.46813,126.89113
635,37.46847,126.8924
636,37.46878,126.89361
637,37.46856,126.89492
638,37.46802,126.89872
639,37.46829,126.8999
640,37.46828,126.90001
641,37.46865,126.90139
642,37.46833,126.9027
643,37.46863,126.90351
644,37.46844,126.90448
645,37.46836,126.90505
646,37.46848,126.90642
647,37.46856,126.90703
648,37.46895,126.90857
649,37.46879,126.91304
650,37.46846,126.9205
651,37.46852,126.9213
652,37.46843,126.92238
653,37.46835,126.92362
654,37.46857,126.92444
655,37.46812,126.92543
656,37.46824,126.92645
657,37.46891,126.9289
658,37.46802,126.93034
659,37.46821,126.93175
660,37.46889,126.93316
661,37.46884,126.93461
662,37.46868,126.93648
663,37.4684,126.93883
664,37.46847,126.9397
665,37.46862,126.94035
666,37.46883,126.94137
667,37.46884,126.94235
668,37.46883,126.9431
669,37.46868,126.94454
670,37.46824,126.94546
671,37.46854,126.95794
672,37.46853,126.95826
673,37.46831,126.9638
674,37.46899,126.96486
675,37.46829,126.96722
676,37.46888,126.96889
677,37.46859,126.96916
678,37.46813,126.9702
679,37.46851,126.9758
680,37.468,126.9769
681,37.46899,126.9864
682,37.46842,126.99052
683,37.46804,126.99139
684,37.46887,127.02468
685,37.46827,127.02582
686,37.46891,127.0263
687,37.468,127.03535
688,37.46859,127.04262
689,37.46854,127.04331
690,37.46856,127.04603
691,37.46886,127.04747
692,37.46839,127.0962
693,37.46829,127.09787
694,37.46837,127.09867
695,37.46821,127.09961
696,37.46832,127.10039
697,37.46833,127.10235
698,37.46874,127.11988
699,37.46931,126.88831
700,37.46923,126.89369
701,37.46987,126.89626
702,37.46941,126.8989
703,37.46941,126.89982
704,37.46917,126.90011
705,37.46937,126.90148
706,37.46998,126.90209
707,37.46938,126.90351
708,37.46901,126.90423
709,37.46946,126.90568
710,37.46903,126.9085
711,37.4693,126.91127
712,37.46947,126.91262
713,37.46971,126.91735
714,37.46934,126.91813
715,37.46983,126.92
716,37.46983,126.92056
717,37.46952,126.92108
718,37.46936,126.92266
719,37.46944,126.92327
720,37.46964,126.92457
721,37.46939,126.926
722,37.46955,126.92891
723,37.46973,126.92933
724,37.46918,126.9307
725,37.46929,126.93158
726,37.4695,126.93349
727,37.46984,126.93541
728,37.46909,126.93644
729,37.46922,126.93773
730,37.4694,126.93931
731,37.46933,126.94064
732,37.4699,126.94147
733,37.4696,126.94271
734,37.469,126.94305
735,37.46922,126.94482
736,37.46918,126.96469
